	query	etalon	label	scores
0	сотрудник в отпуске, з.платы за месяц нет- можно ли платить ему премию	произошло повышение з/платы в части премии расчет отпускных	0	0.9118971228599548
1	обязателен ли счет на оплату при наличии спецификации? был заключен договор поставки	обязательный ли спецификация договор поставка	0	0.9690655469894409
2	путевой лист в 2025 году можно также вести на бумаге	можно вести трудовую книжку только на бумаге	0	0.9560186862945557
3	как пополнить р/счет ИП за счет собственных средств? Надо делать договор займа	зачет продукции собственного производства в счет займа	0	0.8824846148490906
4	есть ли разъяснение для Управляющих компаний как переходить на НДС с 2025	2025 усн ндс переходящая реализация	0	0.8599821329116821
5	заявление сотрудника на отпуск пример	пример написания заявления на отпуск без содержания	0	0.8691366910934448
6	не работает расчетчик по отпускам	онлайн расчетчик отпуска	0	0.7479887008666992
7	если отпуск с 2 сентября	правило отпуск с 1 сентябрь 2023 год	0	0.949152410030365
8	калькулятор расчета отпускных, не могу зайти	калькулятор расчет сумма отпускной	0	0.9887021780014038
9	Сроки перечисления страховых взносов с отпускных	начисление страховой взнос с отпускной	0	0.9667409062385559
10	не работает расчетчик компенсации за неиспользованный отпуск	расчетчик день компенсация неиспользованный отпуск	0	0.878746747970581
11	как начисляется отпуск сотрудника работающего пол дня	отпуск сколько положено дней сотрудник работал 8 месяцев	0	0.9532926082611084
12	заявление от инвалида о предоставлении удлиненного отпуска	заявление о предоставлении выходных родителю ребенка инвалида	0	0.26092928647994995
13	можно ли совместителю оформлять отпуск на 28 дней	может ли совместитель оформить отпуск без содержания	0	0.8829673528671265
14	почему не работает сервис расчет отпускных	расчет отпускной почему использовать федеральный мрот	0	0.9507116079330444
15	Отпускные положены сотруднику, если он увольняется	сотрудник в отпуске, может ли уволится	0	0.3104534149169922
16	кто должен делать приказ на отпуск гененрального директора?	приказ когда генеральный директор в отпуске на кого возлагают	0	0.8460381031036377
17	Добрый день. Образец заявления на отпуск без оплаты	образец заявление отпуск уход	0	0.9054689407348633
18	Добрый день. Не работает вкладка Сервис расчёт отпускных.	выплата отпускной 2022 сервис	0	0.7516922950744629
19	Добрый день. Продлевает ли отпуск сотрудника больничный с ребенком?	продлеваться ли отпуск сотрудник больничный	0	0.7247338891029358
20	зарабатывают ли отпуск при мобилизации (после приостановления трудового договора)	приостановление действия трудового договора в связи с мобилизацией	0	0.5944197773933411
21	здравствуйте, отпуск с работы по внутреннему совместительству рассчитывается ?	как отправить в отпуск по внутреннему совместительству	0	0.13973736763000488
22	За какой период можно взять компенсация за дополнительный неиспользованный отпуск	когда можно получить компенсацию за неиспользованный отпуск	0	0.19018341600894928
23	вовремя не начислен резерв на оплату отпусков в налоговом учете	почему отказываться начислять резерв оплата отпуск налоговый учет	0	0.844397246837616
24	Здравствуйте. Нужно ли при выплате отпускных удерживать ндфл с питания?	удерживать ндфл с питание	0	0.8867800831794739
25	отпуск по беременности и родам входит в расчет отпускного стажа?	расчет очередного отпуска после отпуска по беременности и родам	0	-0.041888751089572906
26	может ли внешний совместитель получать денежную компенсацию за очередной отпуск?	отпуск за свой счет внешнему совместителю	0	0.790017306804657
27	Добрый день. Директор уходит в отпуск. Как настроить работу предприятия?	директор уходить отпуск и не передавать полномочие	0	0.7676829099655151
28	скажите пожалуйста премия не годовая полностью учитывается при расчете отпускныз?	учитываться премия расчет средний заработок месяц не полностью отрабатывать	0	0.8350356817245483
29	приказ возложение обязанностей на за мдиректора на время отпуска директора	приказ возложение обязанность главный бухгалтер время отпуск	0	0.8733251690864563
30	как оплачивать если человек работал 1 день находясь в отпуске	сколько человек может находиться в отпуске без содержания	0	0.7294994592666626
31	инвалидам какой группы работодатель должен предоставлять очередной отпуск 30 дней?	право инвалида на отпуск 30 дней	0	0.8696479797363281
32	Можно отпуск считать по полугодиям, а не от даты приема?	код можно брать отпуск с дата прием работа	0	0.9006227254867554
33	отпуск и больничный лист исключаются из расчета средней заработной платы?	больничный лист в отпуске без сохранения заработной платы	0	0.7908904552459717
34	Здравствуйте! Если количество дней отпуска 34,6 полается то считам 35 дней?	количество дней отпуска в 2022	0	0.05256236717104912
35	ООО один учередитель в лице генерального директора. Как оформить отпуск документально?	генеральный директор отпуск оформлять	0	0.9075173139572144
36	Здраствуйте. Срок предоставления документов на отпуск по уходу до 1,5 лет?	документы необходимые для предоставления отпуска по уходу за ребенком до 1,5 лет	0	0.6090936660766602
37	Здравствуйте! Какие резервы может создавать муниципальное унитарное предприятие? (резервы отпусков например)	мочь мсп не создавать резерв оплата отпуск	0	0.9341024160385132
38	Войдут ли дни больничного в расчет компенсации за не использованный отпуск?	входит ли отпуск за свой счет в расчет больничного	0	0.10556276142597198
39	если сотруднику предоставили отпуск авансом а он не отработал что делать?	предоставлять отпуск сотрудник аванс	0	0.6196113228797913
40	может ли генеральный директор и главный бухгалтер одновременно уйти в отпуск	отпуск директора и педагога одновременно	0	0.7496771216392517
41	Здравствуйте! сотрудник в отпуске заболел. что делать с отпуском и отпускными?	сотрудник получать отпускной заболевать начало отпуск	0	0.9562347531318665
42	доброе! Сотрудник принят на работу 29.01.24 - взхял отпуск с 26	отпуск с 01 ноября	0	0.5880609154701233
43	Добрый день. Директор уходит в отпуск. Как передать полномочия заместителю директора?	директор уходит в отпуск приказ	0	0.02658652514219284
44	Какая продолжительность отпуска несовершеннолетнего 14 лет, работающего в районах крайнего севера?	продолжительность отпуск внешний совместитель район крайний север	0	0.9305433034896851
45	в какие организации нужно отчитаться, если работник уходит в декретный отпуск	замена работника ушедшего в декретный отпуск	0	0.05444127321243286
46	Добрый день, подскажите какие документы оформить при вызове из отпуска сотрудника?	как оформить административный отпуск сотрудника	0	0.4720582664012909
47	добрый день, может ли сотрудник находясь в отпуске выйти на подработку	сотрудник отпуск выходить работа	0	0.2746758460998535
48	добрый день. у сотрудника ребенок инвалид, сколько дней отпуска положено сотруднику дополнительно	сотруднику инвалиду сколько положено дней к отпуску	0	0.26176440715789795
49	Добрый день! Сотрудник работает вахтовым методом. Вопрос: положен ли отпуск и сколько?	положен ли отпуск кочегарам	0	0.43753424286842346
50	На чье имя пишет директор заявление об отпуске или о переносе отпуска	заявление на отпуск без сохранения зп директора на имя учредителя	0	0.4833216071128845
51	Добрый день. можно ли неиспользованный отпуск получить денежное вознаграждение не при увольнении?	денежная компенсация неиспользованных дней отпуска	0	0.13525468111038208
52	Расчет компенсации за отпуск при увольнении , не работает этот сервис снова	расчет компенсации при увольнении после административного отпуска	0	0.9672698974609375
53	Добрый день, можно ли начислить отпускные если больничный лист еще не закрыт?	нужно ли сейчас закрывать больничный лист	0	0.7363107204437256
54	Сотрудник в отпуске, з.платы за месяц нет- можно ли платить ему премию?	произошло повышение з/платы в части премии расчет отпускных	0	0.9118971228599548
55	Можно ли выплатить премию за прошлый период сотруднице, что ушла в декретный отпуск?	пересчет отпусков из-за премии за прошлый период	0	0.8852720260620117
56	сколько дней сотрудник в год должен отгулять отпуска во избежание штрафов для компании	сколько обязан сотрудник отгулять отпуск	0	0.6698668599128723
57	Добрый день! Сотрудник находится в очередном отпуске и решил уволиться, что делать бухгалтеру?	находясь в отпуске за свой счет сотрудник решил уволиться	0	0.295879989862442
58	Можно ли выплатить отпускные заранее, тк. бухгалтер в единственном лице уходит в отпуск?	отпускной выплачивать вместе с заработный плата заранее	0	0.9773545861244202
59	если сотрудница была в неоплачиваемом отпуске, пособие по беременности и родам не начислится?	пособия по беременности и родам 2024	0	0.7865681648254395
60	Добрый день. Может ли сотрудник написать заявление на отпуск, но при этом работать.	сотрудник написать заявление отпуск день	0	0.8144921660423279
61	Добрый день Подскажите, пожалуйста, может ли гл бух замещать директора во время отпуска?	приказ о назначении замещающего генерального директора на время отпуска	0	0.6839586496353149
62	здравствуйте. Как отразить расходы на проезд в отпуск не для районов крайнего севера	оплата проезд отпуск совместитель район крайний север 2024 год	0	0.9729044437408447
63	"работник работает на 1,5 ставки внутреннее совмещение.

как выплачивать материальную помощь к отпуску ?"	давать временно совмещение работник он работать 1 5 ставка	0	0.03362380713224411
64	Если человек пришел и ушел с работы, не проработав месяца, как ему рассчитываются отпускные	отпуск сотрудник мочь уходить месяц и не делить он	0	0.9256365895271301
65	Здравствуйте! Вопрос: можем ли мы оплачивать сотрудникам проезд к месту проведения отпуска и обратно?	компенсация проезд сотрудник место работа и обратно налогообложение	0	0.9343156814575195
66	Добрый день! нужен образец заявления на отпуск по уходу за ДВОЙНЕЙ до 1,5 лет.	пособие уход 1 5 год двойня	0	0.9225594997406006
67	Добрый день, можно ли выплатить компенсацию за не отгуленый трудовой отпуск сразу за 4 года?	компенсация за не использованные дни отпуска	0	0.7105140686035156
68	Добрый день! Может ли директор организации, находящийся в неоплачиваемом отпуске подать заявление в службу занятости?	организация должный подавать служба занятость	0	0.9465389251708984
69	Добрый день. Соискателю, заключившему ученический договор с организацией. Можно предоставить отпуск без сохранения заработной платы?	ученические договора в каких организациях можно заключать	0	0.06669005751609802
70	если директор генеральный идет в отпуск, кто должен выписывать ему приказ о выходе в отпуск?	отпуск генеральный директор приказ передача право	0	0.8313961029052734
71	Добрый день. Подскажите, какой датой должен быть составлен приказ на отпуск по беременности и родам?	приказ о беременности и родам составлять?	0	0.5649312734603882
72	Добрый день, списываются ли за счет начисленного резерва: компенсация отпуска при увольнении, дополнительный отпуск сотрудникам?	компенсация при увольнении сотрудника в отпуске за свой счет	0	0.6402280330657959
73	Повлияет ли увеличение окладов в месяце увольнения при расчете компенсации за неиспользованный отпуск при увольнении?	налогообложение компенсации за неиспользованный отпуск при увольнении	0	0.28774136304855347
74	чем грозит компании если сотрудник отгулял все дни отпуска и берет частями менее 14 дней	можно ли брать отпуск частями	0	0.9251538515090942
75	размер максимальных взносов за ип за себя ва 2024 г	максимальный размер уплата страховой взнос ипать 1 2023	0	0.8057833909988403
76	учетный отпуск входит ли в стаж	входит ли административный отпуск для расчета стажа	0	0.7123402953147888
77	можно организации самой создать методику расчета оценочного обязательства по отпускам	оценочное обязательство отпуск пбу	0	0.7195509672164917
78	может ли ИП вид деятельности автомойка применять патент и не пользоваться ККТ	ип патент автомойка 45 20	0	0.9451789855957031
79	компенсация расходов по РФ взамен суточных налогообложение, и как это зафиксировать в ЛНА	размер и налогообложение суточный	0	0.9757462739944458
80	удалить историю поиска	удалять электронный подпись	0	0.8668983578681946
